,environment_score,governance_score,social_score,environment_grade,social_grade,governance_grade,Name,Returns,Variance,clusters,sharpe
BBBY,225.0,205.0,201.0,B,B,B,Bed Bath &amp; Beyond Inc.,0.9616111402996657,1.0683760524720736,3.0,0.9000680407190251
TSLA,563.0,255.0,146.0,A,CC,B,Tesla Motors Inc.,0.6311777822964547,0.844197117998161,3.0,0.7476663552147186
PENN,341.0,210.0,323.0,BB,BB,B,"Penn National Gaming, Inc.",0.6774389459696795,0.7117065620323074,3.0,0.9518514822109053
SEDG,740.0,250.0,302.0,AA,BB,B,"SolarEdge Technologies, Inc.",0.6555519793866832,0.6762426696759509,3.0,0.9694034534981614
APA,410.0,325.0,323.0,BBB,BB,BB,Apache Corporation,0.8311100952244275,0.6647466401677838,3.0,1.250265958493078
CF,530.0,305.0,343.0,A,BB,BB,"CF Industries Holdings, Inc.",0.7433763344409944,0.42019211973523996,3.0,1.7691344019240305
MOS,510.0,300.0,336.0,A,BB,BB,The Mosaic Company,1.001670536596154,0.5068605500158694,3.0,1.976225091033012
MRO,530.0,305.0,306.0,A,BB,BB,Melrose Industries PLC,0.9150619406385071,0.6123437872942826,3.0,1.4943598018391309
ENPH,703.0,315.0,325.0,AA,BB,BB,"Enphase Energy, Inc.",0.9278002863842123,0.7420634437821368,3.0,1.2502977934816664
FANG,393.0,320.0,263.0,BB,B,BB,"Diamondback Energy, Inc.",0.7361968696474959,0.6243028807083838,3.0,1.1792302941356738
ALB,545.0,305.0,345.0,A,BB,BB,Albemarle Corporation,0.7310652616838165,0.4882828026473612,3.0,1.4972168950455405
HAL,257.0,210.0,233.0,B,B,B,HAL Trust,0.7806062131857745,0.5390291706534031,3.0,1.4481706291322516
NUE,263.0,215.0,323.0,B,BB,B,Nucor Corporation,0.7521813780251958,0.4131265234076122,3.0,1.8207046398787
OXY,413.0,300.0,374.0,BBB,BB,BB,Occidental Petroleum Corporation,0.8865029703212658,0.7202617892080564,3.0,1.2308066089358916
DVN,385.0,300.0,305.0,BB,BB,BB,Devon Energy Corporation,0.9922978588843018,0.593605196212157,3.0,1.671646180350568
FCX,360.0,300.0,305.0,BB,BB,BB,Freeport-McMoRan Inc.,0.8973468879591354,0.49804405711385014,3.0,1.8017419847537843
MRNA,500.0,300.0,300.0,A,BB,BB,"Moderna, Inc.",0.8407985950927879,0.8395716039258996,3.0,1.0014614491023168
